
Loaded txt
Using 1D Conv Model with Uncertainties
  0%|          | 0/10000 [00:00<?, ?it/s]
Epoch 152: Encoder Loss: 0.0751, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0766, Decoder Loss: 0.0002
Epoch 153: Encoder Loss: 0.0715, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0610, Decoder Loss: 0.0002
Epoch 154: Encoder Loss: 0.0696, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0544, Decoder Loss: 0.0001
Epoch 155: Encoder Loss: 0.0677, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0561, Decoder Loss: 0.0004
Epoch 156: Encoder Loss: 0.0736, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0606, Decoder Loss: 0.0003
Epoch 157: Encoder Loss: 0.0647, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0551, Decoder Loss: 0.0002
Epoch 158: Encoder Loss: 0.0637, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.1044, Decoder Loss: 0.0003
Epoch 159: Encoder Loss: 0.0692, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0668, Decoder Loss: 0.0012
Epoch 160: Encoder Loss: 0.0702, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0523, Decoder Loss: 0.0003
Epoch 161: Encoder Loss: 0.0663, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0676, Decoder Loss: 0.0002
Epoch 162: Encoder Loss: 0.0660, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.1023, Decoder Loss: 0.0003
Epoch 163: Encoder Loss: 0.0627, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0496, Decoder Loss: 0.0003
Epoch 164: Encoder Loss: 0.0620, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0871, Decoder Loss: 0.0002
Epoch 165: Encoder Loss: 0.0636, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0651, Decoder Loss: 0.0003
Epoch 166: Encoder Loss: 0.0676, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0537, Decoder Loss: 0.0004
Epoch 167: Encoder Loss: 0.0637, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0524, Decoder Loss: 0.0002
Epoch 168: Encoder Loss: 0.0639, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.1303, Decoder Loss: 0.0002
Epoch 169: Encoder Loss: 0.0617, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0492, Decoder Loss: 0.0002
Epoch 170: Encoder Loss: 0.0625, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0546, Decoder Loss: 0.0002
Epoch 171: Encoder Loss: 0.0615, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0624, Decoder Loss: 0.0002
Epoch 172: Encoder Loss: 0.0610, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0679, Decoder Loss: 0.0004
Epoch 173: Encoder Loss: 0.0588, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0507, Decoder Loss: 0.0002
Epoch 174: Encoder Loss: 0.0622, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0557, Decoder Loss: 0.0002
Epoch 175: Encoder Loss: 0.0551, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0487, Decoder Loss: 0.0002
Epoch 176: Encoder Loss: 0.0591, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0494, Decoder Loss: 0.0004
Epoch 177: Encoder Loss: 0.0619, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0895, Decoder Loss: 0.0003
Epoch 178: Encoder Loss: 0.0575, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0706, Decoder Loss: 0.0007
Epoch 179: Encoder Loss: 0.0594, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0455, Decoder Loss: 0.0005
Epoch 180: Encoder Loss: 0.0560, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0695, Decoder Loss: 0.0002
Epoch 181: Encoder Loss: 0.0546, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0444, Decoder Loss: 0.0002
Epoch 182: Encoder Loss: 0.0589, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0552, Decoder Loss: 0.0002
Epoch 183: Encoder Loss: 0.0547, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0440, Decoder Loss: 0.0002
Epoch 184: Encoder Loss: 0.0572, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0444, Decoder Loss: 0.0001
Epoch 185: Encoder Loss: 0.0550, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0415, Decoder Loss: 0.0002
Epoch 186: Encoder Loss: 0.0525, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0808, Decoder Loss: 0.0002
Epoch 187: Encoder Loss: 0.0533, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0443, Decoder Loss: 0.0001
Epoch 188: Encoder Loss: 0.0546, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0431, Decoder Loss: 0.0001
Epoch 189: Encoder Loss: 0.0534, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0419, Decoder Loss: 0.0002
Epoch 190: Encoder Loss: 0.0533, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0805, Decoder Loss: 0.0003
Epoch 191: Encoder Loss: 0.0531, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0467, Decoder Loss: 0.0002
Epoch 192: Encoder Loss: 0.0544, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0682, Decoder Loss: 0.0003
Epoch 193: Encoder Loss: 0.0504, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0417, Decoder Loss: 0.0002
Epoch 194: Encoder Loss: 0.0504, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0757, Decoder Loss: 0.0002
Epoch 195: Encoder Loss: 0.0530, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0858, Decoder Loss: 0.0002
Epoch 196: Encoder Loss: 0.0503, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0515, Decoder Loss: 0.0002
Epoch 197: Encoder Loss: 0.0485, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0403, Decoder Loss: 0.0001
Epoch 198: Encoder Loss: 0.0549, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0551, Decoder Loss: 0.0002
Epoch 199: Encoder Loss: 0.0487, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0418, Decoder Loss: 0.0002
Epoch 200: Encoder Loss: 0.0499, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0405, Decoder Loss: 0.0001
Epoch 201: Encoder Loss: 0.0512, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0427, Decoder Loss: 0.0001
Epoch 202: Encoder Loss: 0.0469, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0395, Decoder Loss: 0.0002
Epoch 203: Encoder Loss: 0.0477, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0481, Decoder Loss: 0.0002
Epoch 204: Encoder Loss: 0.0492, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0491, Decoder Loss: 0.0002
